society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
vatika gurgaon,0.07,sector 83,602.0,1162.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),2,2,2,19.0,East,Relatively New,,1245.0,1150.0,1020.0,0,0,0,0,1,2,105,581.0
dlf city plots,13.5,sector 26,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,house,,4518.0,,1,1,1,1,0,2,110,903.6
m3m soulitude,1.0,sector 89,878.0,11384.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,,New Property,,,,1423.0,1,0,0,0,0,1,49,3794.6666666666665
conscient elevate,4.0,sector 59,1750.0,22857.0,Carpet area: 2295 (213.21 sq.m.),3,3,1,3.0,,Under Construction,,,,2295.0,0,0,0,0,0,1,31,7619.0
pareena coban residences,1.0,sector 99a,879.0,11373.0,Super Built up area 1550(144 sq.m.)Built Up area: 1430 sq.ft. (132.85 sq.m.)Carpet area: 1160 sq.ft. (107.77 sq.m.),2,2,3,3.0,North,Relatively New,,1550.0,1430.0,1160.0,1,0,0,0,0,1,174,5686.5
ats kocoon,1.0,sector 109,974.0,10265.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3,3,3,22.0,East,Relatively New,,1745.0,1550.0,,0,0,0,0,0,1,74,3421.6666666666665
essel towers,2.0,sector 14,1250.0,16000.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,North-West,Undefined,,,,1760.0,0,0,0,0,0,1,0,5333.333333333333
ansals florence villa,3.65,sector 57,10580.0,3450.0,Plot area 3450(320.52 sq.m.),6,6,2,3.0,North-West,Moderately Old,house,,3450.0,,1,1,1,1,0,0,152,575.0
bptp terra,1.0,sector 37d,879.0,11377.0,Super Built up area 1877(174.38 sq.m.),3,3,2,15.0,East,Relatively New,,1877.0,,,0,0,0,0,0,1,116,3792.3333333333335
bptp terra,1.0,sector 37d,730.0,13695.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,7.0,North,Relatively New,,2191.0,2000.0,1800.0,0,0,0,0,1,2,139,3423.75
bestech spa signature,4.0,sector 81,1059.0,37754.0,Super Built up area 4200(390.19 sq.m.)Built Up area: 3850 sq.ft. (357.68 sq.m.)Carpet area: 3600 sq.ft. (334.45 sq.m.),4,4,3+,8.0,South-West,Relatively New,,4200.0,3850.0,3600.0,1,1,0,1,1,2,49,9438.5
uppal southend,6.75,sector 49,32328.0,2088.0,Built Up area: 232 (193.98 sq.m.),4,4,3,3.0,West,Relatively New,house,,232.0,,0,1,0,0,0,2,26,522.0
emaar gurgaon greens,1.0,sector 102,921.0,10855.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,North-West,Relatively New,,1650.0,,1022.58,0,1,0,0,0,2,137,3618.3333333333335
supertech araville,0.07,sector 79,606.0,1155.0,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17.0,North,New Property,,1295.0,,1250.0,0,0,0,0,1,1,53,577.5
indiabulls enigma,4.0,sector 110,985.0,40605.0,Built Up area: 3350 (311.23 sq.m.),4,4,3,17.0,,New Property,,,3350.0,,0,0,0,0,0,1,59,10151.25
emaar mgf emerald floors premier,2.0,sector 65,1545.0,12942.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3,3.0,West,Relatively New,,1650.0,,1300.0,1,1,0,0,0,1,21,4314.0
signature global orchard avenue,0.04,sector 93,548.0,730.0,Built Up area: 730 (67.82 sq.m.),2,2,0,0.0,,Undefined,,,730.0,,0,0,0,0,0,1,0,365.0
eldeco accolade,1.0,sector 33,804.0,12433.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,2,0.0,,Undefined,,,1492.0,849.0,0,0,0,0,0,1,56,6216.5
avl 36 gurgaon,0.04,sector 36a,1020.0,392.0,Carpet area: 392 (36.42 sq.m.),1,1,1,4.0,West,Relatively New,,,,392.0,0,0,0,0,0,1,35,392.0
the lions cghs,2.0,sector 56,875.0,22857.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,8.0,West,Old Property,,2400.0,2200.0,2000.0,0,0,0,0,1,2,166,7619.0
hero homes,1.95,sector 104,21196.0,920.0,Plot area 920(85.47 sq.m.),3,5,3+,2.0,,Moderately Old,house,,920.0,,0,0,0,0,0,1,64,306.6666666666667
sbtl caladium,1.0,sector 109,654.0,15286.0,Super Built up area 1880(174.66 sq.m.),3,2,3,8.0,North-East,Relatively New,,1880.0,,,0,0,0,0,0,1,103,5095.333333333333
zara aavaas,0.04,sector 104,703.0,569.0,Super Built up area 568.46(52.81 sq.m.),2,2,1,4.0,North,Relatively New,,568.46,,,0,0,0,0,0,1,52,284.5
emaar mgf the palm drive,3.0,sector 66,1647.0,18215.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 2125 sq.ft. (197.42 sq.m.),3,4,3,6.0,North,Relatively New,,2200.0,2150.0,2125.0,0,1,0,0,0,1,68,6071.666666666667
tata primanti,4.0,sector 72,1410.0,28369.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,39.0,,New Property,,2905.0,,,0,1,0,0,1,1,103,7092.25
shapoorji pallonji joyville gurugram,1.0,sector 102,1026.0,9748.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15.0,North-East,New Property,,1852.0,1700.0,1450.0,0,0,0,1,0,1,174,3249.3333333333335
bestech park view spa next,2.0,sector 67,1149.0,17408.0,Super Built up area 2350(218.32 sq.m.),4,4,3+,9.0,South-West,Moderately Old,,2350.0,,,0,1,0,1,0,2,149,4352.0
sare green parc phase 3,1.0,sector 92,515.0,19417.0,Super Built up area 2090(194.17 sq.m.),4,4,2,16.0,,New Property,,2090.0,,,0,1,0,0,0,1,107,4854.25
signature global grand iva,0.03,sector 103,829.0,362.0,Carpet area: 361.88 (33.62 sq.m.),1,2,2,5.0,,New Property,,,,361.88,0,0,0,0,0,1,37,362.0
hcbs sports ville,0.02,sohna road,397.0,504.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 519 sq.ft. (48.22 sq.m.),2,2,1,4.0,,Undefined,,,743.0,519.0,0,0,0,0,0,1,0,252.0
shree vardhman flora,1.0,sector 90,485.0,20602.0,Carpet area: 2575 (239.23 sq.m.),4,4,3,10.0,East,Relatively New,,,,2575.0,1,0,0,1,0,1,174,5150.5
independent,5.0,sector 40,21124.0,2367.0,Plot area 263(219.9 sq.m.),9,9,3+,3.0,South-East,Relatively New,house,,2367.0,,0,0,0,1,0,2,66,263.0
vatika city homes,0.07,sector 83,566.0,1237.0,Super Built up area 1325(123.1 sq.m.),2,2,2,3.0,West,Relatively New,,1325.0,,,0,0,0,0,0,2,49,618.5
tulip violet,1.0,sector 69,964.0,10375.0,Super Built up area 1608(149.39 sq.m.),3,3,2,2.0,East,Relatively New,,1608.0,,,0,0,0,1,0,2,86,3458.3333333333335
independent,3.0,sector 2,19268.0,1557.0,Plot area 173(144.65 sq.m.),6,4,3+,3.0,South,Old Property,house,,1557.0,,0,0,0,0,0,2,28,259.5
adani m2k oyster grande,2.0,sector 102,1005.0,19908.0,Super Built up area 2598(241.36 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,14.0,North-East,Relatively New,,2598.0,2200.0,2000.0,1,1,0,0,0,1,21,6636.0
denso haryana housing society,0.09,manesar,431.0,2089.0,Carpet area: 2089 (194.07 sq.m.),3,3,3+,5.0,East,Moderately Old,,,,2089.0,0,1,0,0,0,1,7,696.3333333333334
raheja revanta,4.0,sector 78,1688.0,23690.0,Built Up area: 2813 (261.34 sq.m.),3,3,2,31.0,,Under Construction,,,2813.0,,0,1,0,0,0,1,100,7896.666666666667
laxmi pareena,0.03,sector 99a,667.0,450.0,Carpet area: 450 (41.81 sq.m.),2,1,0,12.0,North,Undefined,,,,450.0,0,0,0,0,0,1,0,225.0
ansal maple heights,1.0,sector 43,1266.0,7900.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1385 sq.ft. (128.67 sq.m.)Carpet area: 1185 sq.ft. (110.09 sq.m.),3,3,3+,7.0,North-East,Old Property,,1400.0,1385.0,1185.0,0,0,1,0,0,2,174,2633.3333333333335
emaar mgf the palm drive,2.0,sector 66,1436.0,13930.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,2,12.0,East,New Property,,1950.0,1920.0,1600.0,1,1,0,1,0,0,69,4643.333333333333
bestech park view grand spa,2.0,sector 81,835.0,23966.0,Super Built up area 2660(247.12 sq.m.),3,4,3+,15.0,South-East,Relatively New,,2660.0,,,0,1,0,0,0,2,174,7988.666666666667
signature the serenas,0.04,sohna road,847.0,472.0,Carpet area: 531 (49.33 sq.m.),2,2,1,10.0,,New Property,,,,531.0,0,0,0,0,0,1,23,236.0
ashiana mulberry,0.09,sohna road,614.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,7.0,North-East,Moderately Old,,1465.0,1100.0,1000.0,1,0,0,0,0,2,156,732.5
shree vardhman flora,0.07,sector 90,532.0,1315.0,Super Built up area 1352(125.6 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.),2,2,3,9.0,East,New Property,,1352.0,1350.0,,1,0,0,0,0,1,60,657.5
signature the serenas,0.02,sohna road,6.0,35088.0,Carpet area: 48811 (4534.69 sq.m.),1,1,2,1.0,North-West,Relatively New,,,,48811.0,1,0,0,0,0,1,37,35088.0
dlf new town heights,2.5,sector 86,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4,4,3+,3.0,East,Moderately Old,house,,3400.0,,1,1,1,1,0,2,142,885.5
paras irene,1.0,sector 70a,845.0,11834.0,Super Built up area 1420(131.92 sq.m.),2,2,3,6.0,North-East,Moderately Old,,1420.0,,,0,0,0,0,0,1,42,5917.0
umang winter hills,1.0,sector 77,778.0,12853.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1199 sq.ft. (111.39 sq.m.),3,3,3+,7.0,,New Property,,1735.0,,1199.0,0,0,1,0,0,2,96,4284.333333333333
dhoot time residency,3.0,sector 63,1827.0,16419.0,Built Up area: 1642 (152.55 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,14.0,,Relatively New,,,1642.0,1500.0,0,1,0,0,0,2,0,5473.0
independent,1.34,sector 108,5000.0,2680.0,Built Up area: 2680 (248.98 sq.m.),1,1,0,1.0,,Undefined,house,,2680.0,,0,0,0,0,0,1,0,2680.0
m3m heights,2.0,sector 65,1500.0,13333.0,Super Built up area 1828(169.83 sq.m.),3,3,3,20.0,North-East,Under Construction,,1828.0,,,0,0,0,0,0,1,91,4444.333333333333
the close north,2.0,sector 50,1250.0,16000.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,3.0,South-East,Moderately Old,,2605.0,2400.0,2200.0,0,1,0,0,0,1,110,5333.333333333333
signature global synera,0.03,sector 81,949.0,316.0,Carpet area: 400 (37.16 sq.m.),1,1,2,3.0,South-West,Relatively New,,,,400.0,0,0,0,0,0,1,43,316.0
imperia the esfera,0.08,sector 37c,539.0,1485.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,,1578.0,,1310.0,1,0,0,0,0,1,49,742.5
independent,8.5,sector 43,31481.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Moderately Old,house,,2700.0,,0,1,0,0,0,2,113,540.0
indiabulls enigma,3.0,sector 110,1000.0,30000.0,Super Built up area 3400(315.87 sq.m.),4,5,3,3.0,East,Relatively New,,3400.0,,,0,1,1,0,0,1,90,7500.0
pareena mi casa,1.0,sector 68,902.0,11086.0,Super Built up area 1245(115.66 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),2,2,3,13.0,East,New Property,,1245.0,,1225.0,0,0,0,0,0,1,106,5543.0
pareena coban residences,1.0,sector 99a,726.0,13774.0,Super Built up area 1997(185.53 sq.m.),3,5,3,11.0,,Relatively New,,1997.0,,,0,1,0,0,1,2,49,4591.333333333333
independent,0.6,sector 9,10753.0,558.0,Plot area 62(51.84 sq.m.),2,2,1,1.0,North-East,Moderately Old,house,,558.0,,0,0,0,0,0,1,8,279.0
dlf regal gardens,1.0,sector 90,593.0,16861.0,Super Built up area 1720(159.79 sq.m.),3,3,3,18.0,North-East,Relatively New,,1720.0,,,0,0,0,0,1,1,72,5620.333333333333
dlf new town heights,1.0,sector 90,677.0,14775.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,10.0,West,Relatively New,,2364.0,,,0,1,0,1,0,1,88,3693.75
ansal maple crescent,1.0,sector 43,1004.0,9963.0,Super Built up area 1345(124.95 sq.m.)Built Up area: 1320 sq.ft. (122.63 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3,2.0,South,Old Property,,1345.0,1320.0,1300.0,0,0,0,0,1,2,93,3321.0
dlf the skycourt,1.0,sector 86,803.0,12446.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,12.0,North-East,Relatively New,,1929.0,1500.0,1300.0,0,0,0,0,1,0,166,4148.666666666667
experion the heartsong,0.08,sector 108,1185.0,675.0,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,2.0,South-West,Relatively New,,1283.0,978.23,734.43,0,1,0,0,0,2,123,337.5
tata primanti,3.0,sector 72,1054.0,28450.0,Super Built up area 3300(306.58 sq.m.),3,3,3,2.0,South,Moderately Old,,3300.0,,,0,1,0,0,0,1,94,9483.333333333334
indiabulls centrum park,1.0,sector 103,788.0,12687.0,Super Built up area 1725(160.26 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,12.0,East,Relatively New,,1725.0,,1700.0,1,1,1,1,0,2,38,4229.0
independent,3.6,sector 46,24845.0,1449.0,Plot area 161(134.62 sq.m.),5,5,3+,3.0,South-East,Moderately Old,house,,1449.0,,0,1,0,0,0,2,75,289.8
signature global park,0.05,sohna road,650.0,769.0,Carpet area: 830 (77.11 sq.m.),2,2,1,2.0,,Relatively New,,,,830.0,0,0,0,0,0,1,16,384.5
chd avenue,1.0,sector 71,622.0,16090.0,Super Built up area 1802(167.41 sq.m.),3,4,3,0.0,South-East,Moderately Old,,1802.0,,,0,1,0,0,0,1,65,5363.333333333333
smriti apartment,0.06,sector 56,1000.0,600.0,Super Built up area 600(55.74 sq.m.),1,1,1,2.0,,Moderately Old,,600.0,,,0,0,0,0,0,1,49,600.0
elan the presidential,6.0,sector 106,1538.0,39002.0,Super Built up area 4095(380.44 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),5,6,3+,10.0,North-East,Under Construction,,4095.0,,3500.0,0,0,0,0,0,2,62,7800.4
m3m heights,2.0,sector 65,1598.0,12516.0,Carpet area: 1433 (133.13 sq.m.),2,2,3,8.0,,Under Construction,,,,1433.0,1,0,0,0,0,1,15,6258.0
bestech park view city,2.0,sector 49,1217.0,16435.0,Super Built up area 2383(221.39 sq.m.),4,4,3+,5.0,South-West,Moderately Old,,2383.0,,,0,1,0,0,0,1,117,4108.75
dlf the ultima,2.0,sector 81,1117.0,17899.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,14.0,South,Relatively New,,2103.0,1550.0,1257.0,1,1,0,1,1,0,49,5966.333333333333
vatika city homes,1.0,sector 83,575.0,17400.0,Super Built up area 1740(161.65 sq.m.),3,3,2,2.0,South-East,Relatively New,,1740.0,,,0,0,1,0,0,2,174,5800.0
conscient elevate,6.0,sector 59,1988.0,30178.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,New Property,,3395.0,,1855.0,0,1,0,0,0,1,31,7544.5
international city by sobha phase 1,5.5,sector 109,21603.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,house,,2430.0,,0,1,0,0,0,1,61,636.5
independent,4.75,sector 1,10556.0,4500.0,Built Up area: 4500 (418.06 sq.m.),6,7,0,4.0,,Undefined,house,,4500.0,,0,0,0,0,0,1,0,750.0
brisk lumbini terrace homes,1.0,sector 109,662.0,15115.0,Carpet area: 2267 (210.61 sq.m.),3,3,1,4.0,North,New Property,,,,2267.0,0,1,0,0,0,1,37,5038.333333333333
the close north,2.0,sector 50,998.0,20040.0,Super Built up area 2605(242.01 sq.m.),3,3,3+,3.0,South,Moderately Old,,2605.0,,,0,1,0,0,0,1,117,6680.0
breeze global heights,0.04,sector 33,642.0,623.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,2,4.0,,Undefined,,,623.0,599.0,0,0,0,0,0,1,0,311.5
m3m the marina,1.0,sector 68,876.0,11417.0,Super Built up area 1507(140 sq.m.),2,2,3,15.0,North-East,Relatively New,,1507.0,,,1,0,0,0,0,1,120,5708.5
eldeco accolade,1.0,sohna road,742.0,13470.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3,3,3+,10.0,East,Relatively New,,1751.0,,1290.0,0,0,0,0,0,1,49,4490.0
raheja vanya,0.08,sector 99a,679.0,1178.0,Super Built up area 1252(116.31 sq.m.),2,2,2,3.0,West,New Property,,1252.0,,,0,0,0,0,0,1,43,589.0
dhoot time residency,2.0,sector 63,1281.0,15609.0,Super Built up area 1717(159.51 sq.m.),3,4,3+,8.0,North-West,Moderately Old,,1717.0,,,1,0,0,0,0,2,61,5203.0
independent,2.4,sector 46,2963.0,8100.0,Plot area 100(83.61 sq.m.),4,4,3,3.0,East,Moderately Old,house,,900.0,,0,0,1,0,0,2,44,2025.0
orris aster court premier,1.0,sector 85,684.0,14622.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,3.0,North,New Property,,2120.0,1616.0,,0,1,0,0,0,1,16,4874.0
independent,1.15,sector 2,19360.0,594.0,Plot area 66(55.18 sq.m.),3,3,2,2.0,South-East,Old Property,house,,594.0,,0,0,0,0,0,2,32,198.0
smart world orchard,1.0,sector 61,1365.0,7325.0,Built Up area: 1150 (106.84 sq.m.),2,2,2,3.0,,New Property,,,1150.0,,1,0,0,0,1,1,71,3662.5
smriti apartment,0.04,sector 56,750.0,533.0,Super Built up area 600(55.74 sq.m.),1,1,2,3.0,,Old Property,,600.0,,,0,0,0,0,0,1,57,533.0
independent,13.5,sector 25,19286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),9,9,0,1.0,East,Relatively New,house,,7000.0,,0,0,0,0,0,1,0,777.7777777777778
corona optus,1.0,sector 37c,691.0,14468.0,Super Built up area 1765(163.97 sq.m.)Built Up area: 1665 sq.ft. (154.68 sq.m.)Carpet area: 1565 sq.ft. (145.39 sq.m.),3,4,3,5.0,South-East,Relatively New,,1765.0,1665.0,1565.0,0,0,0,0,0,1,149,4822.666666666667
emaar mgf palm terraces select,3.0,sector 66,1411.0,21266.0,Super Built up area 2410(223.9 sq.m.)Built Up area: 2210 sq.ft. (205.32 sq.m.)Carpet area: 2040 sq.ft. (189.52 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2410.0,2210.0,2040.0,0,1,0,0,0,2,157,5316.5
godrej nature plus,1.0,sector 33,867.0,11534.0,Super Built up area 1557(144.65 sq.m.),3,2,3+,17.0,,New Property,,1557.0,,,0,0,0,0,0,1,38,3844.6666666666665
belgravia resort residences,3.0,sector 48,1846.0,16252.0,Built Up area: 1869 (173.64 sq.m.),3,3,3,14.0,West,Undefined,,,1869.0,,0,0,0,0,0,1,0,5417.333333333333
dlf regal gardens,1.0,sector 90,722.0,13845.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,7.0,South-West,Moderately Old,,2215.0,,,0,0,0,0,0,1,38,3461.25
emaar mgf marbella,19.0,sector 66,31667.0,6000.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,3.0,North-East,Relatively New,house,,,6000.0,0,1,1,1,0,2,110,1200.0
paras dews,0.09,sector 106,664.0,1355.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,East,Relatively New,,1385.0,940.0,845.0,0,0,0,0,0,1,174,677.5
vipul tatvam villa,19.5,sector 48,22222.0,8775.0,Plot area 975(815.22 sq.m.),5,6,3,2.0,North,Moderately Old,house,,8775.0,,1,1,1,1,0,2,110,1755.0
orchid petals,2.0,sector 49,1232.0,16236.0,Super Built up area 2070(192.31 sq.m.)Built Up area: 2060 sq.ft. (191.38 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,8.0,East,Relatively New,,2070.0,2060.0,1760.0,1,0,0,0,0,2,49,5412.0
pyramid elite,0.04,sector 86,774.0,517.0,Carpet area: 581.41 (54.01 sq.m.),2,2,1,4.0,,Under Construction,,,,581.41,0,0,0,0,0,1,66,258.5
independent,9.9,sector 105,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,house,,2000.0,1800.0,0,0,0,0,0,1,0,1000.0
emaar mgf emerald floors premier,2.0,sector 65,1418.0,14107.0,Carpet area: 1975 (183.48 sq.m.),4,4,3,2.0,South,Relatively New,,,,1975.0,1,1,0,0,0,2,108,3526.75
tata primanti,3.0,sector 72,1605.0,18692.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,15.0,North-East,Relatively New,,2185.0,2140.0,2000.0,0,1,0,0,0,2,174,6230.666666666667
orris carnation residency,0.08,sector 85,453.0,1766.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1575 sq.ft. (146.32 sq.m.)Carpet area: 1435 sq.ft. (133.32 sq.m.),4,4,3,8.0,East,Moderately Old,,1975.0,1575.0,1435.0,0,0,0,0,0,2,40,441.5
independent,13.0,sector 25,45710.0,2844.0,Plot area 316(264.22 sq.m.),6,8,3+,,,Relatively New,house,,2844.0,,1,1,1,1,0,0,0,474.0
ansal celebrity homes,5.2,sector 2,10000.0,5200.0,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4000 sq.ft. (371.61 sq.m.),4,5,2,1.0,,Undefined,house,,5200.0,4000.0,0,0,0,0,0,1,0,1300.0
emaar gurgaon greens,1.0,sector 102,1369.0,7305.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,East,Relatively New,,1650.0,,1022.58,0,1,0,0,0,1,67,2435.0
ss the leaf,2.0,sector 85,1118.0,17892.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,5,3+,4.0,West,Relatively New,,2812.0,2390.0,1968.0,0,1,0,1,0,1,174,4473.0
dlf the ultima,2.0,sector 81,1149.0,17405.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,9.0,South-East,Relatively New,,2132.0,1800.0,1500.0,0,1,0,0,0,2,174,5801.666666666667
independent,1.52,sector 17a,19869.0,765.0,Plot area 85(71.07 sq.m.)Built Up area: 105 sq.yards (87.79 sq.m.),2,2,1,1.0,South-East,Old Property,house,,105.0,,0,0,0,0,0,1,22,382.5
smart world orchard,1.0,sector 61,1278.0,7824.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,East,Under Construction,,,,1150.0,1,0,0,0,0,1,31,3912.0
parsvnath green ville,1.0,sector 48,838.0,11939.0,Super Built up area 1910(177.44 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,13.0,North-West,Old Property,,1910.0,1700.0,1600.0,0,0,0,0,1,2,119,3979.6666666666665
tulip ivory,2.0,sector 70,979.0,20427.0,Carpet area: 2400 (222.97 sq.m.),4,4,3+,10.0,East,Moderately Old,,,,2400.0,0,1,0,0,0,2,65,5106.75
hsiidc sidco aravali,0.08,manesar,313.0,2557.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3,3,3+,2.0,South-West,Moderately Old,,2588.0,1900.0,1877.0,0,1,0,0,0,1,74,852.3333333333334
ashiana anmol,0.09,sohna road,706.0,1275.0,Built Up area: 1275 (118.45 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),2,2,2,8.0,,Undefined,,,1275.0,1039.0,0,0,0,0,0,1,0,637.5
m3m woodshire,1.0,sector 107,618.0,16192.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,7.0,South,Relatively New,,1943.0,1750.0,1550.0,0,0,0,0,0,2,49,5397.333333333333
bptp visionnaire,5.4,sector 70a,20690.0,2610.0,Plot area 290(242.48 sq.m.),4,5,3+,3.0,North,Relatively New,house,,2610.0,,1,1,1,1,0,2,136,652.5
shree vardhman victoria,1.0,sector 70,820.0,12188.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,10.0,South,Relatively New,,1950.0,,1161.0,1,1,0,1,1,1,43,4062.6666666666665
elan mercado,0.08,sector 80,1240.0,645.0,Carpet area: 685 (63.64 sq.m.),1,1,1,15.0,,Relatively New,,,,685.0,0,0,0,0,0,1,60,645.0
ss the leaf,1.0,sector 85,732.0,13667.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,6.0,North,Relatively New,,1640.0,1300.0,1000.0,0,0,0,0,0,2,174,6833.5
sidhivinayak apartments,1.0,sector 55,1056.0,9474.0,Carpet area: 1800 (167.23 sq.m.),4,3,3+,9.0,North,Moderately Old,,,,1800.0,0,0,0,1,0,0,35,2368.5
